text,text2
I try really [hard] to do that myself .,"hard: Forceful, potent, vigorous"
How [cool] would that be ? !,"cool: trendy, fashonable, interesting"
He has a [hard] time communicating and does not always understand questions .,hard: difficult
I lived in MN for a couple of years and it was a very [cool] place .,"cool: trendy, fashonable, interesting"
"But , cooking steak 4 times a year is [hard] on all accounts .",hard: difficult
"It ’s a long term process , involving many hours of research , [hard] work and dedication to improve the communication between your website and a search engines algorithm , such as Google ’s .",hard: difficult
""" You have a most extraordinary ability to influence her , ma'am , for which I find it [hard] to forgive you ! """,hard: difficult
I looked them over and it seems I got a couple of [cool] ones .,"cool: trendy, fashonable, interesting"
"A great start , but when another England chance to score went begging , still in the opening 10 minutes , in the face of [hard] New Zealand defence in the ' red zone ' , it set the alarm bells clanging ..","hard: Forceful, potent, vigorous"
My darling giant husband purchased an external [hard] drive to ease my worry .,"hard: Firm, solid, resistant to pressure, tangible"
"The only downside is , it is [hard] to learn everything .",hard: difficult
"You can find [cool] , contemporary spaces , stylish interiors , and beautiful gardens at this Maldives honeymoon all inclusive resort .","cool: trendy, fashonable, interesting"
"On both sides of that I think that 's also the case with a decision , to go into China right like it it , is it is an ethical question because , it 's [hard] and so , to , me the obligation , is to have , the conversation .",hard: difficult
If you do intend to bring fragile or expensive hair straighteners in your hand held luggage then it is recommended to bring [hard] carry on luggage   as this offers the most protection against knocks and bumps during transit .,"hard: Firm, solid, resistant to pressure, tangible"
It can be quite [hard] at first but once you ’ve already determined the tools you need to promote and improve your services then you can now relax and wait for the rewards of your hard work .,hard: difficult
A [cool] city and a great store .,"cool: trendy, fashonable, interesting"
""" It 's [hard] for anybody to match up with him , his overall skill set , his baserunning , arm strength , ability to throw off balance -- you just keep going down the list of things he can do that on other teams , maybe one guy can do one or two of these things but not anybody can do all of the things he can do , "" Maddon said .",hard: difficult
Now West Kirby had taken it out of me and I could n’t push as [hard] for the second class and I only ended up taking in half a bottle of water .,"hard: Forceful, potent, vigorous"
even with all the [cool] stuff going on .,"cool: trendy, fashonable, interesting"
It is n't seasonal and when it hits it hits you [hard] for about 3 - 5 days .,"hard: Forceful, potent, vigorous"
I knew this would be a [hard] part of the journey as it meant turning into the cold wind that was blowing from the South West and bringing all of the moisture with it .,hard: difficult
"For this reason , I ’ll repeat : collective impact is [hard] .",hard: difficult
"For those [cool] summer nights drift off in the breeze , on a newly added Pawley 's Island swing , from the top floor screened porch overlooking the sound .",cool: of or at a relatively low temperature
"When [cool] , tough Chris Rush drifts into the gang , Mog finds a hero and a best friend .","cool: trendy, fashonable, interesting"
"Standard RAM is 256 to 512 mb , 30 gb or larger [hard] drives .","hard: Firm, solid, resistant to pressure, tangible"
"( Facebook did not release [hard] numbers of “ likes ” for each team , only the counties in which they held a plurality . )","hard: Firm, solid, resistant to pressure, tangible"
Pretty [cool] version .,"cool: trendy, fashonable, interesting"
"The atmosphere was mellow , the music even mellower , and there were just all round chill vibes emanating out of Flyrite that evening ( which just made me want to lay on the [cool] grass , looking up at the stars , somehow surrounded by vanilla - caramel incense ) .",cool: of or at a relatively low temperature
Reliability : One of the key factors about the operation of an external [hard] drive is its reliability .,"hard: Firm, solid, resistant to pressure, tangible"
That is a [hard] question but the first thing that comes to mind is my portrayal of Capt .,hard: difficult
"It is [hard] to tell whether property prices will continue to rise until a recession knocks them down , or i f a rise in interest rates creates a much softer landing .",hard: difficult
Steel Tigers will have a [hard] time living up to that .,hard: difficult
"Some things are dated , such as the flat and largely [hard] - plastic - containing dashboard and the single color tone that flows from seating to flooring to dash .","hard: Firm, solid, resistant to pressure, tangible"
"For example most hard disks that have a partition table but do n't yet have an operating system installed will still have a valid boot sector , and when that boot sector is executed , it will display a message something like "" BOOT DISK FAILURE , PRESS ANY KEY "" , and wait there "" forever "" until a key is pressed , after which the bootstrap code that was loaded from the hard disk will again attempt to boot from the same [hard] disk ad infinitum until the guest is manually restarted .","hard: Firm, solid, resistant to pressure, tangible"
"In France , for example , it ’s really [hard] to fire someone , but it ’s also hard to leave your job , and a company actually does have the right to sue you for damages if you do n’t follow the proper procedure for notifying them that you ’re quitting and if they can prove that your leaving harmed the company in some way .",hard: difficult
"I have left a few ships damaged for a while ( Concord from RV being the main one I remember ) – as long as you can see the cannon die marking and there ’s some sail , it can almost look [cool] like the ship is just permanently damaged ( depending on the break of course ) .","cool: trendy, fashonable, interesting"
The mature oaks provide ample shade allowing everyone to stay [cool] in 90 degree+ heat .,cool: of or at a relatively low temperature
"But as you get lost in your computer screen , the soda can is way past the [cool] temperature you want it to be at .",cool: of or at a relatively low temperature
"When he came to the battle , the Pawnees were having a [hard] time , because the enemy were so many .",hard: difficult
The [cool] thing about our imaginations is that we can just as easily use them to imagine the best possibilities for high school .,"cool: trendy, fashonable, interesting"
The Clickfunnels Digital Table Rush affiliate program pays out 40 % recurring commissions for each referral you make and you can win [cool] prizes like $ 500 towards your own dream car as soon as you hit 100 active referrals .,"cool: trendy, fashonable, interesting"
"It was [hard] for me to break out of a strict session plan , but now I go about it in a similar manner with my 1:1 clients .",hard: difficult
"Many mergist Wikipedians believe in merging as a matter of principle , because merging the content is less polarizing than [hard] inclusion or hard deletion .","hard: Forceful, potent, vigorous"
"If the lice are allowed to continue breeding , the outbreak of lice will become [hard] to stop .",hard: difficult
How am I going to be successful and [cool] and make Him known all at once ?,"cool: trendy, fashonable, interesting"
"There are benefits to either style , but in the past decade as I have integrated car camping into my family ’s life , I have found that though the dome style tents look [cool] and usually feature a lot of innovations , they do n’t allow you to utilize the maximum amount of floor space due to their curved walls .","cool: trendy, fashonable, interesting"
There is a popular myth that Linux is complicated and [hard] to use by a non - techie .,hard: difficult
This necklace makes a beautiful keepsake in [hard] times of loss .,hard: difficult
Thanks to the nice guys behind GastroGays.com for showing me this [cool] trick a while back !,"cool: trendy, fashonable, interesting"
"IRA has an extensive background in business development , business and marketing plans , business consultation , debt and equity private venture transactions along with traditional and [hard] money and venture capital raise ups .","hard: Firm, solid, resistant to pressure, tangible"
"GTA IV : San Andreas is a [cool] mod for GTA IV which allows you to play enjoy the mystic city of San Andreas , the fantastic city that gave us hours , hours of gangs fun .","cool: trendy, fashonable, interesting"
"Exactly like a mattress should n’t be too [hard] , it should also never be too soft .","hard: Firm, solid, resistant to pressure, tangible"
"After that we walked around downtown , went in some [cool] shops .","cool: trendy, fashonable, interesting"
Ravenloft would have been a [cool] get .,"cool: trendy, fashonable, interesting"
"Note that competitor data may be [hard] to come by , so it may require looking at comps in a similar or equal product category .",hard: difficult
"When he came into our lives , he joined our beautiful dog Winnie and our incredibly [cool] and feisty cat , Zippity ( both of blessed memory ) .","cool: trendy, fashonable, interesting"
"CAP say a three - year - old Defender 90 [hard] top with 30,000 miles was valued at £ 11,600 average trade price last June and now the equivalent aged model is £ 12,300 .","hard: Firm, solid, resistant to pressure, tangible"
The only time since then that it has been installed again was when my [hard] drive corrupted and I brought my software disks to the repair shop and they reinstalled it for me .,"hard: Firm, solid, resistant to pressure, tangible"
Entrepreneurs who are willing to put in [hard] work and invest in the field of biologics and biosimilars will find this meeting the best place to properly shape their drive for the new endeavours .,"hard: Forceful, potent, vigorous"
It ’s [hard] to know how to comfort someone when they ’ve lost a loved one and this can be the case whether the person is a close friend or family member or just an acquaintance .,hard: difficult
"Arthur Bovino , the lead writer for “ Always Hungry “ , a New York City restaurant review , has aptly described The Breslin Restaurant at The Ace Hotel as a ‘ [cool] , cleaned up version of the Edmont Hotel in ‘ The Catcher in the Rye ’ .","cool: trendy, fashonable, interesting"
Infertility can be a [hard] subject to discuss .,hard: difficult
In Iowa you never run out of outdoors [cool] things .,"cool: trendy, fashonable, interesting"
But let ’s go back to when some rally [cool] stuff was performed .,"cool: trendy, fashonable, interesting"
Is it so [hard] to find the “ little guy ” website full of relevant information and not just another landing page full of ads masquerading as that which our heart desires .,hard: difficult
That ’s a [cool] site Opit .,"cool: trendy, fashonable, interesting"
Was it a [cool] tool with a wicked UI ?,"cool: trendy, fashonable, interesting"
The [hard] places discipline us under His careful watch and lead us to say yes to His yes instead of shaking our heads in defiance .,hard: difficult
"The journey has been long , bumpy and turbulent but worth it … This body of work is a living proof of the result from [hard] work , tenacity and focus .","hard: Forceful, potent, vigorous"
"Small bladed lures and jointed [hard] bodies are working in the Rubicon , Acheron and big rivers as well as Snobs creek .","hard: Firm, solid, resistant to pressure, tangible"
"We have renovated most of them to top standard , and best of all ; they are full of [cool] people , just like yourself !","cool: trendy, fashonable, interesting"
"Be that modern , power , thrash and progressive metal - but also [hard] rock fans .","hard: Forceful, potent, vigorous"
Place in a [cool] place to ' relax ' .,cool: of or at a relatively low temperature
"I always thought it would be [cool] to combine translation memory , machine translation , and artificial intelligence .","cool: trendy, fashonable, interesting"
"Sam now can perform a variety of [cool] new moves , has lots of new weapons , and he can highlight multiple targets at once and take them out in quick succession .","cool: trendy, fashonable, interesting"
"And like family they 've given us the heads up on [cool] shows to check out , and even sent us fun surprises in the mail .","cool: trendy, fashonable, interesting"
"This new trick is so very [cool] that when he 's not doing it in his crib , he will run around the house and hide from me as he snorts .","cool: trendy, fashonable, interesting"
"If you prefer [hard] media , the same sliding scale applies to CDs costing between $ 11 and $ 24 .","hard: Firm, solid, resistant to pressure, tangible"
"Everyone driving on the freeway had their necks craned to watch the action ( including me ) , which was definitely not safe with everyone going 70 miles an hour , but it was damn [cool] to see !","cool: trendy, fashonable, interesting"
It ’s [hard] work getting rudeness out of your life .,hard: difficult
"These hard inquiries will stay on your credit report for two years , and if you have several [hard] inquiries on your report , it can dramatically impact your score .","hard: Forceful, potent, vigorous"
This is a [cool] section .,"cool: trendy, fashonable, interesting"
It 's 94 % humidity and a [cool] 21 degrees Celcius .,cool: of or at a relatively low temperature
Taking a [cool] bath can make it shave less .,cool: of or at a relatively low temperature
"Store in a [cool] , dry place ( 59 ° F-85 ° F ) away from direct light .",cool: of or at a relatively low temperature
"Many thanks for rendering those important , healthy , revealing and even [cool] thoughts on your topic to Julie .","cool: trendy, fashonable, interesting"
"But as anyone who has ever suffered the heartbreak of a [hard] drive crash or tried to watch home movies recorded in a now obsolete format knows , there is a dark side to storing information digitally .","hard: Firm, solid, resistant to pressure, tangible"
"Soils in which the carbonate is evident only as a slight to moderate effervescence ( 1 M HCl ) , and/or contain less than 2 % soft finely divided carbonate , and have less than 20 % [hard] carbonate nodules or concretions .","hard: Firm, solid, resistant to pressure, tangible"
"I feel valued , appreciated for my [hard] work , and I know I ’m part of a team .","hard: Forceful, potent, vigorous"
"It ’s [hard] to deny , though , that they ’re also a bit scary , especially when it comes to our children ; handing your baby over to be injected with an illness , however tiny the dose , however beneficial the long - term effects , still feels like an abdication of every protective parental instinct there is .",hard: difficult
Its no more [hard] to find friends or talk to new people in our well organised Moreno chat rooms as there are many interesting and like minded people organized together for the same purpose .,hard: difficult
"Boy , I ’d love it if my mom could carry me around in such a [cool] tote … too bad","cool: trendy, fashonable, interesting"
"Chilembwe preached an orthodox Baptist faith along with a morality that opposed alcohol and emphasized the values of [hard] work , personal hygiene , and self - help .","hard: Forceful, potent, vigorous"
As someone who follows a lot of trends in food it ’s [cool] to see that RITZ Crackers stays on - top with lots of new inspiration and creativity .,"cool: trendy, fashonable, interesting"
"It was a [hard] goodbye yesterday at Oaklea Field , with a season - ending loss against a strong and skilled Berkshire team , but it was so much more than that .",hard: difficult
Can be [hard] to use on backs of legs and harder to use on fine hairs .,hard: difficult
"Sure , you can score a few kills for yourself by going it alone , but all you Rambo types are going to have a [hard] time being an effective part of the larger offensive unless you learn to coordinate with your squadmates .",hard: difficult
Insider tip : track it all and do n’t be [hard] on yourself .,hard: difficult
Protect your arms and your ink from the harmful effects of the sun and stay [cool] with these muscle compression sleeves featuring stunning tattoo designs as well as an array of solid colors .,cool: of or at a relatively low temperature
"This week we chat with @Penny_Elmslie , Head of Marketing for the [cool] accounting software Xero .","cool: trendy, fashonable, interesting"
100 [cool] ideas !,"cool: trendy, fashonable, interesting"
"Bellow , you can check a showcase of 10 [cool] yellow shower curtain designs which could serve as an inspiration .","cool: trendy, fashonable, interesting"
The [cool] weather of April is perfect for pansies .,cool: of or at a relatively low temperature
Bringing top performers in early to the content creation and employee learning processes can serve as a tangible reward for all of their [hard] work — as well as hands - on introduction to the managerial stratosphere .,"hard: Forceful, potent, vigorous"
"I loved that she had courage to do hard things , to be able to go to school in a different city on her own and later to care for those she loved , even though the situations were [hard] .",hard: difficult
"It ’s usually very [cool] and as well , jam - packed with fun for me personally and my office fellow workers to visit your web site nearly three times per week to find out the fresh stuff you have got .","cool: trendy, fashonable, interesting"
"Now , it is almost 20 years later , and although I am not drinking to the same extent , I fear that am still drinking to fit in and be [cool] .","cool: trendy, fashonable, interesting"
She has been our friendly “ front of house ” for 10 years and will be a very [hard] act to follow !,hard: difficult
"Before buying a hard drive , you need to be sure of the type of [hard] drive that you want to purchase .","hard: Firm, solid, resistant to pressure, tangible"
"I am not sure who decides what is [cool] these days but the CE has been boasting these capabilities in small mobile devices for a while , it seems to me that marketing , and primarily , hype is even more relevant than the product itself .","cool: trendy, fashonable, interesting"
"The G3 K 100 will be treated to the best hotels that each of our stopovers has to offer , top class service and some experiences en - route that will be [hard] to forget .",hard: difficult
Adding a sword takes seconds and you can share your [cool] sword battle scenes soon after you take a picture .,"cool: trendy, fashonable, interesting"
There will be no excuses when it comes to multiple opportunities to see a really [cool] band live in person .,"cool: trendy, fashonable, interesting"
"We stand behind each and everyone one of our custom home builds , and love that people , other than the homeowners , have a chance to see some of our [hard] work .","hard: Forceful, potent, vigorous"
Unlimited source of cool gadgets – discover [cool] stuff on a daily basis and choose your favorite cool gadget .,"cool: trendy, fashonable, interesting"
"It takes [hard] work , dedication , and emotional resilience but you can do it !","hard: Forceful, potent, vigorous"
"However , nail polish dries [hard] and durable , and will provide a little extra protection for your matches .","hard: Firm, solid, resistant to pressure, tangible"
These tubes are made from synthetic fibers and can deliver [cool] air to a room without causing a draft .,cool: of or at a relatively low temperature
We have done the [hard] part and narrowed it down to these 5 desserts that are perfect to bring along to your next social gathering .,hard: difficult
"Although the actual recipe is a bit [hard] to pull out from the post , the results are always worth it .",hard: difficult
"Using a shovel or an axe , small holes are dug into the [hard] ground and filled with compost .","hard: Firm, solid, resistant to pressure, tangible"
I also think TABULAR through powerpivot is such a [cool] thing because there are heaps of analysts that have been doing this in years in Access and Excel and this should make life sooooo much easier .,"cool: trendy, fashonable, interesting"
It is [hard] enough to struggle to become the sorts of person we would hope to be .,hard: difficult
"One year it was a mani / pedi , the next year it was tickets to a [cool] museum exhibit .","cool: trendy, fashonable, interesting"
What a [cool] idea !,"cool: trendy, fashonable, interesting"
"The hard Brexiteers , for all their media ubiquity , just do n’t have the numbers in parliament for a [hard] Brexit .","hard: Forceful, potent, vigorous"
"I spend more time than is necessary drafting and re - drafting these letters , sifting through a year ’s worth of photos to jog my memory of things that have happened , and because I know these letters can often be long , dry and dull , I try really , really [hard] to make them funny .","hard: Forceful, potent, vigorous"
"Prefers moist , fertile , well - drained soils and [cool] climates .",cool: of or at a relatively low temperature
It was [hard] ,hard: difficult
The raft stops along the secluded beaches of the Colorado river to give you a chance to swim or paddle in the [cool] clear waters .,cool: of or at a relatively low temperature
""" soo it looks pretty [cool] but , it slows down my whole kindle . ""","cool: trendy, fashonable, interesting"
"Pretty [cool] guy , I got a copy to review and I highly recommend !","cool: trendy, fashonable, interesting"
"The metal is always [cool] to the touch , even in the middle of the hottest summer .",cool: of or at a relatively low temperature
""" We enthusiastically recommend Dave to anyone who wants a thoughtful , resourceful and [hard] -working representative . ""","hard: Forceful, potent, vigorous"
"Bassist Jack Gordon and drummer Gus Alvarado , veterans of a handful of Houston [hard] rock bands , bring a focused intensity that provides a strong backbone for the songs .","hard: Forceful, potent, vigorous"
"I know , I know – you may have heard the same thing before from those that think it ’s [cool] to hate Microsoft ; but I ’m not one of those guys .","cool: trendy, fashonable, interesting"
Enjoy a refreshing dip in the [cool] water of Premier Lake .,cool: of or at a relatively low temperature
Your [hard] work is not in vain .,"hard: Forceful, potent, vigorous"
"I hit hard , [hard] enough for the breath to be knocked out of me .","hard: Forceful, potent, vigorous"
"So before the [cool] weather arrives , make a batch of these Lemon Raspberry Buttermilk Popsicles and celebrate the remaining days of summer in style !",cool: of or at a relatively low temperature
Here was a [cool] bonus … right outside of the line area was a stage set up for festivities .,"cool: trendy, fashonable, interesting"
"The advantage these robots will have over human labor is that they will easily be able to work in a zero gravity , high radiation , [hard] vacuum environment without the need for relief or special equipment .","hard: Forceful, potent, vigorous"
""" As long as you are n't getting booed , though , that 's [cool] .","cool: trendy, fashonable, interesting"
Asus uses a 160 GB sized [hard] disk in a 2.5 inch format as the memory unit .,"hard: Firm, solid, resistant to pressure, tangible"
"To an Orthodox Jew , Ron Wyatt ’s claim that the Ark was put under Calvary - site of the crucifixion of the Nazarene - is one that seems [hard] to swallow .",hard: difficult
You do n't have to break the skin .. just [hard] enough to get your point across being - biting hurts- they will get the message .,"hard: Forceful, potent, vigorous"
"Only [hard] copies : Stradivari ’s Genius by Toby Farber ( which I ’m reading again for the third time ) and The Silmarillion by J.R.R.Tolkien ( which is hauntingly beautiful and despite having read it several times , I can never put it down ) .","hard: Firm, solid, resistant to pressure, tangible"
There is a definite electronica texture and this is quite a [cool] piece of music – and one that stands out nicely from the rest .,"cool: trendy, fashonable, interesting"
"Lord Stranleigh met them within the hall apparently [cool] and unexcited , there ’s nothing to do .","cool: trendy, fashonable, interesting"
Is it [hard] to watch at times ?,hard: difficult
"A smaller business may simply back up files to a CD or external [hard] disk , or a larger one may back them up to a redundant storage server .","hard: Firm, solid, resistant to pressure, tangible"
I have a [hard] time getting up and going .,hard: difficult
I tried to act [cool] like I was expecting that .,"cool: trendy, fashonable, interesting"
"It ’s really [hard] to relinquish control for such an important day , but it really does help relieve stress if you can effectively delegate and let go of little things .",hard: difficult
Different types of pen drives and [hard] drives at discounted rates .,"hard: Firm, solid, resistant to pressure, tangible"
"The announcement came with this teaser , depicting the surviving members of the Stark family gathering in the Crypts of Winterfell to look [cool] and pose with swords .","cool: trendy, fashonable, interesting"
"Thanks for churning out the essential , dependable , educational and in addition [cool] tips about that topic to Kate .","cool: trendy, fashonable, interesting"
""" I 'm going to push very [hard] to use jurisdiction that already exists . ""","hard: Forceful, potent, vigorous"
beautiful night quotes : I want to be the [cool] night breeze which gives you goosebumps as you sleep .,cool: of or at a relatively low temperature
"In daily stop and go , no other after cooling solution is as effective as the air to water in generating a [cool] and steady intake temp .",cool: of or at a relatively low temperature
It ’s a pretty [cool] place .,"cool: trendy, fashonable, interesting"
But no [hard] questions instead of the guillotine .,hard: difficult
"It is [cool] that you ’re seeking a job to get a income , however , also you will require some difficulties with restart .","cool: trendy, fashonable, interesting"
The Myers piece appears to have been given a [cool] reception on Twitter .,cool: of or at a relatively low temperature
Fabric gives [cool] feeling after biopolishing .,cool: of or at a relatively low temperature
"but when I deleted a document out of my external [hard] drive it went to my computer 's recycling bin , so it made me question if it is the same procedure ?","hard: Firm, solid, resistant to pressure, tangible"
Our [hard] drive recovery service is such that our knowledge of all things hard drive plus the technology at our disposal means that we are perfectly placed to help our customers – both business and domestic- retrieve their data before it is lost forever .,"hard: Firm, solid, resistant to pressure, tangible"
He was trying too [hard] to make me believe what he was saying .,"hard: Forceful, potent, vigorous"
This study explores that clean surface will have higher thermal absorptivity and will give [cool] feeling when it will be touched by human skin .,cool: of or at a relatively low temperature
"I 'm very happy with this external [hard] drive , looks great and it 's compact and easy to install and use Plus the price was way lower than I expected .","hard: Firm, solid, resistant to pressure, tangible"
"If your health information is not readily producible in the form or format you request , your record will be provided in either our standard electronic format or , if you prefer , a readable [hard] copy form .","hard: Firm, solid, resistant to pressure, tangible"
It was made of that [hard] material back then .,"hard: Firm, solid, resistant to pressure, tangible"
"There are no [hard] feelings or any bad blood inside the team , we just drove ourselves into a situation we could n’t get out of and something had to change .","hard: Forceful, potent, vigorous"
"Yet 29 - year - old Boland , whose casual manner belies a sharp mind , says : "" I know this is [hard] to believe , but when we set out to change the format this year we did n't even look at Today . """,hard: difficult
How [cool] is this ? !,"cool: trendy, fashonable, interesting"
It is [hard] to believe that we are at the end of term 1 .,hard: difficult
"Moreover , if you are not satisfied with all the [hard] work you have put in , you can easily detach the chair from the boat by unscrewing the pedestal .","hard: Forceful, potent, vigorous"
Enhance your truck with superior upgrades to maintain the environment [cool] and enjoyable for everybody .,cool: of or at a relatively low temperature
"There are many couples that are interested in building an enormous centerpiece , which is extremely [hard] to ignore .",hard: difficult
Rapper Wiz Khalifa mixes [hard] work with weed anthems for San Jose concert .,"hard: Forceful, potent, vigorous"
A high degree of hard disk fragmentation can lead to decreased [hard] disk performance .,"hard: Firm, solid, resistant to pressure, tangible"
This is [hard] from some people .,hard: difficult
It is very [hard] to feminize and to force male flower production on the female plant .,hard: difficult
“ The only thing I find [hard] is motivating myself to come out and do the hard work .,hard: difficult
I know we talked about [hard] inquiries and how they can bring your score down .,"hard: Firm, solid, resistant to pressure, tangible"
"Kirin Ichiban ’s machine turns beer into a slushie that you can then use to top off a glass of beer , helping it stay [cool] for up to 30 minutes longer .",cool: of or at a relatively low temperature
This is a spot for the [cool] crowd who likes the idea of BBQ but if you are a fan of Henry ’s or Bucky ’s you might feel cheated by the portion sizes here .,"cool: trendy, fashonable, interesting"
"The aforementioned steps make maintenance a bit easier , let you keep a [cool] home throughout the summertime , and help you to save on electricity costs .",cool: of or at a relatively low temperature
"Now I 'm not trying to beat up on single mothers , they have a [hard] job and many of them do remarkably well for how hard a position they are in .",hard: difficult
"Most succulents usually have very shallow root systems , so they can be made into very [cool] and creative arrangements around the house or for weddings , such as making a vertical garden or using a glass container to make a mini succulent terrarium .","cool: trendy, fashonable, interesting"
Trendir is a [cool] collection of modern everything from furniture to architecture and interior design .,"cool: trendy, fashonable, interesting"
"We were able to catch the last couple days of warm weather before fall officially hit , and after a very long , hot , humid summer , the rain , and crisp , [cool] air felt great !",cool: of or at a relatively low temperature
"And after few songs I realised that it 's practically impossible to watch his movements , so I switched to watching the [cool] guitar skills of Karl Sanders or of the bassist Chris Lollis .","cool: trendy, fashonable, interesting"
It is [hard] to justify interrogating an Israeli Holocaust survivor on the pretext of security or law enforcement .,hard: difficult
"An Archive and Install will NOT erase your [hard] drive , but you must have sufficient free space for a second OS X installation which could be from 3 - 9 GBs depending upon the version of OS X and selected installation options .","hard: Firm, solid, resistant to pressure, tangible"
"Again , it is [hard] to say .",hard: difficult
"It is a relatively [cool] and faint star , approximately one tenth the mass and diameter of SoVran or approximately 30 % larger than the planet Jupiter .",cool: of or at a relatively low temperature
I enjoy you because of all your [hard] work on this web page .,"hard: Forceful, potent, vigorous"
Proper PPE : [hard] toed shoes .,"hard: Firm, solid, resistant to pressure, tangible"
I wish it was [cool] enough to wear a sweater !,cool: of or at a relatively low temperature
You ’re a [hard] worker yourself .,"hard: Forceful, potent, vigorous"
"Wearing light colored , natural fabrics , such as cotton or linen , will help keep you [cool] and comfortable .",cool: of or at a relatively low temperature
"Your declaration may leave an indelible mark on your credit history that is [hard] to entirely escape , but remember , you are not the only one .",hard: difficult
"Seal and store in a dark , [cool] place for at least a month before using .",cool: of or at a relatively low temperature
"This is unlikely to be just luck , but rather [hard] work , planning and training .","hard: Forceful, potent, vigorous"
"I had to gain some weight for the role , so the hardest part was trying to look [cool] while running and not look totally exhausted .","cool: trendy, fashonable, interesting"
"A bunch of stuff from a bud ’s visit from Japan ( thanks man ) that has some Strike Witches Luccini stickers , a saucy manga featuring the aforementioned witch , some chick from some gae with a big sword that looks [cool] that I like the look of , Hastune Miku music CD and DIVA F game for PS3 , a Luccini statue thingy and some other stuff that I ca n’t make out from the thumbnail I am looking at .","cool: trendy, fashonable, interesting"
"Move the person to a [cool] , shady place .",cool: of or at a relatively low temperature
Recording is hard work in any era but it was especially [hard] in this era .,hard: difficult
Unfortunately for Schumer all his [hard] work appears to be coming back to bite him in the rear hurting his reputation not helping it .,"hard: Forceful, potent, vigorous"
"Buuuuut , it can be [hard] to stay on top of everything , let alone get away from the office to participate .",hard: difficult
"With the Electronic Brushroll On / Off , move from carpet to [hard] floors with a touch of a button .","hard: Firm, solid, resistant to pressure, tangible"
Our demineralization cartridges help to reduce buildup in your humidifier tank caused by [hard] water .,"hard: Firm, solid, resistant to pressure, tangible"
"Another [cool] related site is breathingearth.net , which shows CO2 emissions , births , and deaths in simulated real time around the world .","cool: trendy, fashonable, interesting"
Hiya very [cool] site ! !,"cool: trendy, fashonable, interesting"
"However , it does not make any changes to the operating system already installed on the [hard] disk , SSD or flash storage – UD Pocket runs entirely from the USB stick .","hard: Firm, solid, resistant to pressure, tangible"
""" It 's very [hard] because he no longer recognises his real mother and we are too afraid to tell the people in case he is rejected . """,hard: difficult
The breeze was [cool] enough to be pleasant .,cool: of or at a relatively low temperature
"Secluded , but easy access , romantic po , er and clean and elgends family vacation lake and mountain view log cabin for rent on [cool] high elevation Lake Legends casino poker .",cool: of or at a relatively low temperature
"It is going to save you a bunch of time , all that [cool] stuff , right ?","cool: trendy, fashonable, interesting"
"Compare this to if Marcelle Reich wrote his own biography , he ’d wax lyrical about [hard] work , negotiation / persuasion skills ( in this case code for brown envelope skills ) etc .","hard: Forceful, potent, vigorous"
"The most popular color of the Bengal is the brown / black tabby , a lackluster description for coats that can be anywhere from a [cool] grey to vibrant shades of golden , bronze , copper or mahogany with spots or marbling ranging from rich browns to intense black .",cool: of or at a relatively low temperature
Writing is [hard] work that requires discipline and the right state of mind .,hard: difficult
Pumpkin Spice Donuts are a treat on [cool] winter days !,cool: of or at a relatively low temperature
Vibrating Fluid Bed Dryers – [cool] and dry a wide range of material types at a variety of feed rates .,cool: of or at a relatively low temperature
Let ’s get to know the [cool] 3D shapes by printing out this set of cards .,"cool: trendy, fashonable, interesting"
"The [cool] location was not the only unique aspect , rather more the kaleidoscopic - type line up .","cool: trendy, fashonable, interesting"
"A chrome Lokar shifter rises to within easy reach of the driver and wears a matching leather boot , and the Chevy - branded billet steering wheel also ties into the color scheme with its leather wrapping and sits in front of a stellar dash area that features an assortment of white - faced TPI - Tech gauges , as well as quartet of in - dash vents to bring [cool] air into the cabin via a climate control system that 's functioning at its best .",cool: of or at a relatively low temperature
"Store in a [cool] , dry place , tightly sealed .",cool: of or at a relatively low temperature
"Confrontations and sit - downs had their tragic culmination in 1969 , when the student Jan Palach , 22 years old , immolated himself with petrol at the foot of the statue of Wenceslas in protest at the [hard] repression .",hard: difficult
I find that it 's very [hard] to explain without pics .,hard: difficult
It does look like a [cool] and beautiful palate .,"cool: trendy, fashonable, interesting"
"It is possible to quickly run it on your [hard] drive platform , damage pad Personal computer , and in addition creative gadgets .","hard: Firm, solid, resistant to pressure, tangible"
One [cool] feature of docstrings is that Python can use them to automatically generate documentation .,"cool: trendy, fashonable, interesting"
"In the early 1950 ’s after the introduction of the Lp , the most progressive American cover designs were created for jazz albums , and Mr. Goldblatt was among the pioneers in establishing the [cool] - jazz style .","cool: trendy, fashonable, interesting"
And then she got to grow in her range as she got older which was [cool] to see .,"cool: trendy, fashonable, interesting"
"Not only is the playing and singing faultless , it 's a [cool] video as well .","cool: trendy, fashonable, interesting"
"The updated kitchen feels fresh with white cabinets and walls , [cool] gray granite counters , stainless steel appliances , statement light fixtures and an eat - at island .",cool: of or at a relatively low temperature
"Could you briefly explain how a "" [cool] core cluster "" forms or provide a link to a non - technical explanation ?",cool: of or at a relatively low temperature
I ’ve already heard from our FB page that they would have made sure to have included something Ravenloft — and it ’s [hard] to disagree .,hard: difficult
"Maybe you will find it hard to part with all those useless items , so it ’s best to leave the pros to do the [hard] work .",hard: difficult
